rank,creator,tier_confidence,primary_platform,profile_url,follower_count,count_basis,audience_tier,range_flag,brands_promoted,referral_code,business_contact,primary_format,example_link,confidence,notes
1,lito_gmbl,1-verified,TikTok,TikTok https://www.tiktok.com/@lito_gmbl ; X https://twitter.com/lito_gmbl,~163.3k TikTok ESTIMATE (~2023),observed,mid,in,"HypeDrop, Stake",HypeDrop deposit code (+Stake tip),none,Short-form TikTok battles,,med,Strong short-form/TikTok fit.
2,mysterypacks.de,1-verified,TikTok,TikTok https://www.tiktok.com/@mysterypacks.de,52.1k TikTok (2026-07-18),observed,micro,in,MysteryPacks (sports-jersey packs),N/A,none,Mystery-pack unboxing (seller acct),,med,"NEW. Seller/brand-ish account, not a pure influencer."
3,Curly (The Curly Fella),3-niche-relevant,TikTok,https://www.tiktok.com/@thecurlyfella,N/A,tier-estimate (unverified),unknown,in,case-opening niche (brand tie TBD),TBD,none,CS2 case-opening clips,,low,Real niche creator; confirm which target brand (if any) they promote + live counts
4,@the_happy_budget,3-niche-relevant,TikTok,https://www.tiktok.com/@the_happy_budget,N/A,tier-estimate (unverified),micro,in,IRL mystery box (ADJACENT; brand tie TBD),TBD,none,sneaker mystery-box unboxing (ADJACENT),,low,Real niche creator; confirm which target brand (if any) they promote + live counts
5,@winonakicks,3-niche-relevant,TikTok,https://www.tiktok.com/@winonakicks,N/A,tier-estimate (unverified),micro,in,IRL mystery box (ADJACENT; brand tie TBD),TBD,none,sneaker mystery-box unboxing (ADJACENT),,low,Real niche creator; confirm which target brand (if any) they promote + live counts
6,@culturekicks,3-niche-relevant,TikTok,https://www.tiktok.com/@culturekicks,N/A,tier-estimate (unverified),unknown,in,IRL mystery box (ADJACENT; brand tie TBD),TBD,none,sneaker mystery-box unboxing (ADJACENT),,low,Real niche creator; confirm which target brand (if any) they promote + live counts
7,@soleloco,3-niche-relevant,TikTok,https://www.tiktok.com/@soleloco,N/A,tier-estimate (unverified),unknown,in,IRL mystery box (ADJACENT; brand tie TBD),TBD,none,"sneaker mystery-box unboxing, Las Vegas (ADJACENT)",,low,Real niche creator; confirm which target brand (if any) they promote + live counts
8,@air.jumps.official,3-niche-relevant,TikTok,https://www.tiktok.com/@air.jumps.official,N/A,tier-estimate (unverified),unknown,in,IRL mystery box (ADJACENT; brand tie TBD),TBD,none,mini sneaker mystery-box unboxing (ADJACENT),,low,Real niche creator; confirm which target brand (if any) they promote + live counts
9,@ioannalaou,3-niche-relevant,TikTok,https://www.tiktok.com/@ioannalaou,N/A,tier-estimate (unverified),unknown,in,IRL mystery box (ADJACENT; brand tie TBD),TBD,none,Rolex/watch mystery-box unboxing (IcyBox-adjacent),,low,Real niche creator; confirm which target brand (if any) they promote + live counts
10,golddigger_5,1-verified,TikTok,TikTok https://www.tiktok.com/@golddigger_5,N/A,tier-estimate (unverified),nano-micro,in,HypeDrop,GOLDDIGGER,none,Short-form unboxing,,low,
11,hypedropcrazybattles,1-verified,TikTok,TikTok https://www.tiktok.com/@hypedropcrazybattles,N/A,tier-estimate (unverified),nano-micro,in,HypeDrop,TIKTOK100,none,Short-form battle clips,,low-med,
12,Sebknowsbest,1-verified,TikTok,TikTok https://www.tiktok.com/@sebknowsbest,N/A,tier-estimate (unverified),nano-micro,in,HypeDrop,Sebknowsbest,none,Short-form win clips,,low,
13,tshockz22,1-verified,TikTok,TikTok https://www.tiktok.com/@tshockz22,N/A,tier-estimate (unverified),nano-micro,in,PackDraw,Kaslik,none,Short-form case-opening / promo shoutout,,high,NEW. Clearest new micro TikTok fit; code Kaslik -> PackDraw.
14,csgo.gambling,1-verified,TikTok,TikTok https://www.tiktok.com/@csgo.gambling,N/A,tier-estimate (unverified),unknown,in,"CSGORoll, HypeDrop",none seen,none,Short-form case-opening clips,,low-med,NEW. Topical account.
15,dizzydankss (DizzyDanks24),1-verified,TikTok,TikTok https://www.tiktok.com/@dizzydankss,N/A,tier-estimate (unverified),unknown,in,HypeDrop,Dizzy,none,Short-form unboxing,,med,NEW.
16,hypedropbalotelli,1-verified,TikTok,TikTok https://www.tiktok.com/@hypedropbalotelli,N/A,tier-estimate (unverified),unknown,in,HypeDrop,BALOTELLI,none,Short-form unboxing / promo,,low-med,NEW.
17,kelvinmboik,1-verified,TikTok,TikTok https://www.tiktok.com/@kelvinmboik,N/A,tier-estimate (unverified),unknown,in,SkinClub,none identified,none,Short-form case-opening / promo clips,,med,NEW. Only verifiable SkinClub TikTok creator handle.
18,pizza_god1 (Kody Garrett),1-verified,TikTok,TikTok https://www.tiktok.com/@pizza_god1,N/A,tier-estimate (unverified),unknown,in,HypeDrop,KODYG,none,Short-form unboxing,,low-med,NEW.
19,quickhypedrop,1-verified,TikTok,TikTok https://www.tiktok.com/@quickhypedrop,N/A,tier-estimate (unverified),unknown,in,HypeDrop,none confirmed,none,Short-form mystery-box unboxing,,med,NEW.
20,rillabox.openings,1-verified,TikTok,TikTok https://www.tiktok.com/@rillabox.openings,N/A,tier-estimate (unverified),unknown,in,RillaBox,none seen,none,Short-form unboxing,,low-med,NEW. Topical account.
21,coindev (coindevclips),2-code-confirmed,TikTok/YouTube,,N/A,pending,unknown,in,PackDraw,coindev,none,code/name confirmed; profile+format to verify,,low-med,"Real code/name; resolve handle, counts, platform. 'coindevclips' PackDraw account referenced"
22,MACE2C (MACE2CSTT),2-code-confirmed,TikTok,,N/A,pending,unknown,in,SkinClub,MACE2CSTT,none,code/name confirmed; profile+format to verify,,low-med,"Real code/name; resolve handle, counts, platform. SkinClub streamer code"
23,SUKUNA (SUKUNATT),2-code-confirmed,TikTok,,N/A,pending,unknown,in,SkinClub,SUKUNATT,none,code/name confirmed; profile+format to verify,,low-med,"Real code/name; resolve handle, counts, platform. SkinClub streamer code"
24,VECHMAN (VECHMANTT),2-code-confirmed,TikTok,,N/A,pending,unknown,in,SkinClub,VECHMANTT,none,code/name confirmed; profile+format to verify,,low-med,"Real code/name; resolve handle, counts, platform. SkinClub streamer code"
